2025-03-05 16:33:24,770 - INTERNAL event, logical clock: 178
2025-03-05 16:33:24,942 - INTERNAL event, logical clock: 179
2025-03-05 16:33:25,113 - INTERNAL event, logical clock: 180
2025-03-05 16:33:25,282 - SEND event to port 5002, logical clock: 181
2025-03-05 16:33:25,454 - SEND event to ALL machines, logical clock: 182
2025-03-05 16:33:25,626 - SEND event to port 5001, logical clock: 183
2025-03-05 16:33:25,796 - INTERNAL event, logical clock: 184
2025-03-05 16:33:25,967 - INTERNAL event, logical clock: 185
2025-03-05 16:33:26,139 - INTERNAL event, logical clock: 186
2025-03-05 16:33:26,311 - RECEIVE event, queue length: 0, logical clock: 187
2025-03-05 16:33:26,478 - INTERNAL event, logical clock: 188
2025-03-05 16:33:26,649 - RECEIVE event, queue length: 0, logical clock: 189
2025-03-05 16:33:26,821 - INTERNAL event, logical clock: 190
2025-03-05 16:33:26,993 - SEND event to port 5002, logical clock: 191
2025-03-05 16:33:27,164 - INTERNAL event, logical clock: 192
2025-03-05 16:33:27,336 - INTERNAL event, logical clock: 193
2025-03-05 16:33:27,508 - INTERNAL event, logical clock: 194
2025-03-05 16:33:27,680 - INTERNAL event, logical clock: 195
2025-03-05 16:33:27,851 - SEND event to port 5002, logical clock: 196
2025-03-05 16:33:28,022 - INTERNAL event, logical clock: 197
2025-03-05 16:33:28,190 - INTERNAL event, logical clock: 198
2025-03-05 16:33:28,362 - INTERNAL event, logical clock: 199
2025-03-05 16:33:28,534 - SEND event to port 5002, logical clock: 200
2025-03-05 16:33:28,701 - INTERNAL event, logical clock: 201
2025-03-05 16:33:28,873 - SEND event to ALL machines, logical clock: 202
2025-03-05 16:33:29,041 - INTERNAL event, logical clock: 203
2025-03-05 16:33:29,211 - SEND event to port 5002, logical clock: 204
2025-03-05 16:33:29,378 - INTERNAL event, logical clock: 205
2025-03-05 16:33:29,550 - INTERNAL event, logical clock: 206
2025-03-05 16:33:29,721 - SEND event to port 5002, logical clock: 207
2025-03-05 16:33:29,890 - SEND event to port 5001, logical clock: 208
2025-03-05 16:33:30,058 - SEND event to ALL machines, logical clock: 209
2025-03-05 16:33:30,225 - INTERNAL event, logical clock: 210
2025-03-05 16:33:30,392 - INTERNAL event, logical clock: 211
2025-03-05 16:33:30,562 - INTERNAL event, logical clock: 212
2025-03-05 16:33:30,730 - RECEIVE event, queue length: 0, logical clock: 213
2025-03-05 16:33:30,899 - INTERNAL event, logical clock: 214
2025-03-05 16:33:31,070 - INTERNAL event, logical clock: 215
2025-03-05 16:33:31,241 - INTERNAL event, logical clock: 216
2025-03-05 16:33:31,413 - INTERNAL event, logical clock: 217
2025-03-05 16:33:31,584 - INTERNAL event, logical clock: 218
2025-03-05 16:33:31,756 - INTERNAL event, logical clock: 219
2025-03-05 16:33:31,924 - INTERNAL event, logical clock: 220
2025-03-05 16:33:32,096 - INTERNAL event, logical clock: 221
2025-03-05 16:33:32,267 - SEND event to port 5002, logical clock: 222
2025-03-05 16:33:32,433 - SEND event to port 5001, logical clock: 223
2025-03-05 16:33:32,603 - INTERNAL event, logical clock: 224
2025-03-05 16:33:32,775 - RECEIVE event, queue length: 0, logical clock: 225
2025-03-05 16:33:32,946 - INTERNAL event, logical clock: 226
2025-03-05 16:33:33,118 - SEND event to ALL machines, logical clock: 227
2025-03-05 16:33:33,289 - INTERNAL event, logical clock: 228
2025-03-05 16:33:33,460 - INTERNAL event, logical clock: 229
2025-03-05 16:33:33,632 - INTERNAL event, logical clock: 230
2025-03-05 16:33:33,804 - INTERNAL event, logical clock: 231
2025-03-05 16:33:33,974 - SEND event to port 5001, logical clock: 232
2025-03-05 16:33:34,145 - INTERNAL event, logical clock: 233
2025-03-05 16:33:34,312 - SEND event to port 5001, logical clock: 234
2025-03-05 16:33:34,484 - SEND event to ALL machines, logical clock: 235
2025-03-05 16:33:34,656 - INTERNAL event, logical clock: 236
2025-03-05 16:33:34,827 - INTERNAL event, logical clock: 237
2025-03-05 16:33:34,999 - INTERNAL event, logical clock: 238
2025-03-05 16:33:35,171 - INTERNAL event, logical clock: 239
2025-03-05 16:33:35,342 - INTERNAL event, logical clock: 240
2025-03-05 16:33:35,512 - SEND event to port 5002, logical clock: 241
2025-03-05 16:33:35,683 - INTERNAL event, logical clock: 242
2025-03-05 16:33:35,855 - SEND event to port 5002, logical clock: 243
2025-03-05 16:33:36,024 - SEND event to port 5001, logical clock: 244
2025-03-05 16:33:36,195 - INTERNAL event, logical clock: 245
2025-03-05 16:33:36,367 - INTERNAL event, logical clock: 246
2025-03-05 16:33:36,538 - INTERNAL event, logical clock: 247
2025-03-05 16:33:36,710 - INTERNAL event, logical clock: 248
2025-03-05 16:33:36,879 - SEND event to port 5002, logical clock: 249
2025-03-05 16:33:37,049 - INTERNAL event, logical clock: 250
2025-03-05 16:33:37,217 - INTERNAL event, logical clock: 251
2025-03-05 16:33:37,386 - INTERNAL event, logical clock: 252
2025-03-05 16:33:37,554 - INTERNAL event, logical clock: 253
2025-03-05 16:33:37,725 - INTERNAL event, logical clock: 254
2025-03-05 16:33:37,897 - INTERNAL event, logical clock: 255
2025-03-05 16:33:38,069 - INTERNAL event, logical clock: 256
2025-03-05 16:33:38,240 - INTERNAL event, logical clock: 257
2025-03-05 16:33:38,411 - RECEIVE event, queue length: 0, logical clock: 258
2025-03-05 16:33:38,582 - INTERNAL event, logical clock: 259
2025-03-05 16:33:38,750 - INTERNAL event, logical clock: 260
2025-03-05 16:33:38,917 - INTERNAL event, logical clock: 261
2025-03-05 16:33:39,089 - INTERNAL event, logical clock: 262
2025-03-05 16:33:39,260 - INTERNAL event, logical clock: 263
2025-03-05 16:33:39,430 - INTERNAL event, logical clock: 264
2025-03-05 16:33:39,602 - SEND event to port 5002, logical clock: 265
2025-03-05 16:33:39,774 - INTERNAL event, logical clock: 266
2025-03-05 16:33:39,946 - SEND event to port 5002, logical clock: 267
2025-03-05 16:33:40,116 - INTERNAL event, logical clock: 268
2025-03-05 16:33:40,288 - SEND event to ALL machines, logical clock: 269
2025-03-05 16:33:40,455 - SEND event to port 5002, logical clock: 270
2025-03-05 16:33:40,627 - INTERNAL event, logical clock: 271
2025-03-05 16:33:40,799 - INTERNAL event, logical clock: 272
2025-03-05 16:33:40,965 - INTERNAL event, logical clock: 273
2025-03-05 16:33:41,137 - INTERNAL event, logical clock: 274
2025-03-05 16:33:41,309 - INTERNAL event, logical clock: 275
2025-03-05 16:33:41,481 - RECEIVE event, queue length: 0, logical clock: 276
2025-03-05 16:33:41,652 - INTERNAL event, logical clock: 277
2025-03-05 16:33:41,824 - INTERNAL event, logical clock: 278
2025-03-05 16:33:41,996 - INTERNAL event, logical clock: 279
2025-03-05 16:33:42,163 - INTERNAL event, logical clock: 280
2025-03-05 16:33:42,332 - INTERNAL event, logical clock: 281
2025-03-05 16:33:42,504 - INTERNAL event, logical clock: 282
2025-03-05 16:33:42,676 - SEND event to port 5002, logical clock: 283
2025-03-05 16:33:42,847 - INTERNAL event, logical clock: 284
2025-03-05 16:33:43,015 - INTERNAL event, logical clock: 285
2025-03-05 16:33:43,187 - SEND event to port 5002, logical clock: 286
2025-03-05 16:33:43,354 - SEND event to port 5002, logical clock: 287
2025-03-05 16:33:43,523 - SEND event to port 5002, logical clock: 288
2025-03-05 16:33:43,693 - INTERNAL event, logical clock: 289
2025-03-05 16:33:43,864 - INTERNAL event, logical clock: 290
2025-03-05 16:33:44,036 - SEND event to ALL machines, logical clock: 291
2025-03-05 16:33:44,207 - INTERNAL event, logical clock: 292
2025-03-05 16:33:44,379 - SEND event to port 5001, logical clock: 293
2025-03-05 16:33:44,550 - INTERNAL event, logical clock: 294
2025-03-05 16:33:44,719 - SEND event to port 5002, logical clock: 295
2025-03-05 16:33:44,887 - INTERNAL event, logical clock: 296
2025-03-05 16:33:45,057 - INTERNAL event, logical clock: 297
2025-03-05 16:33:45,229 - RECEIVE event, queue length: 0, logical clock: 298
2025-03-05 16:33:45,399 - INTERNAL event, logical clock: 299
2025-03-05 16:33:45,567 - INTERNAL event, logical clock: 300
2025-03-05 16:33:45,739 - SEND event to port 5002, logical clock: 301
2025-03-05 16:33:45,911 - INTERNAL event, logical clock: 302
2025-03-05 16:33:46,078 - SEND event to port 5002, logical clock: 303
2025-03-05 16:33:46,249 - INTERNAL event, logical clock: 304
2025-03-05 16:33:46,419 - INTERNAL event, logical clock: 305
2025-03-05 16:33:46,591 - INTERNAL event, logical clock: 306
2025-03-05 16:33:46,761 - INTERNAL event, logical clock: 307
2025-03-05 16:33:46,930 - INTERNAL event, logical clock: 308
2025-03-05 16:33:47,099 - INTERNAL event, logical clock: 309
2025-03-05 16:33:47,270 - INTERNAL event, logical clock: 310
2025-03-05 16:33:47,440 - INTERNAL event, logical clock: 311
2025-03-05 16:33:47,608 - RECEIVE event, queue length: 0, logical clock: 312
2025-03-05 16:33:47,778 - INTERNAL event, logical clock: 313
2025-03-05 16:33:47,945 - SEND event to port 5001, logical clock: 314
2025-03-05 16:33:48,117 - SEND event to ALL machines, logical clock: 315
2025-03-05 16:33:48,285 - INTERNAL event, logical clock: 316
2025-03-05 16:33:48,456 - SEND event to port 5002, logical clock: 317
2025-03-05 16:33:48,624 - INTERNAL event, logical clock: 318
2025-03-05 16:33:48,796 - INTERNAL event, logical clock: 319
2025-03-05 16:33:48,963 - INTERNAL event, logical clock: 320
2025-03-05 16:33:49,135 - INTERNAL event, logical clock: 321
2025-03-05 16:33:49,307 - INTERNAL event, logical clock: 322
2025-03-05 16:33:49,474 - INTERNAL event, logical clock: 323
2025-03-05 16:33:49,646 - INTERNAL event, logical clock: 324
2025-03-05 16:33:49,817 - INTERNAL event, logical clock: 325
2025-03-05 16:33:49,989 - SEND event to port 5001, logical clock: 326
2025-03-05 16:33:50,161 - SEND event to ALL machines, logical clock: 327
2025-03-05 16:33:50,330 - SEND event to port 5002, logical clock: 328
2025-03-05 16:33:50,502 - SEND event to port 5002, logical clock: 329
2025-03-05 16:33:50,673 - SEND event to port 5002, logical clock: 330
2025-03-05 16:33:50,845 - INTERNAL event, logical clock: 331
2025-03-05 16:33:51,017 - SEND event to port 5002, logical clock: 332
2025-03-05 16:33:51,186 - INTERNAL event, logical clock: 333
2025-03-05 16:33:51,356 - INTERNAL event, logical clock: 334
2025-03-05 16:33:51,527 - INTERNAL event, logical clock: 335
2025-03-05 16:33:51,699 - INTERNAL event, logical clock: 336
2025-03-05 16:33:51,867 - INTERNAL event, logical clock: 337
2025-03-05 16:33:52,035 - SEND event to ALL machines, logical clock: 338
2025-03-05 16:33:52,204 - INTERNAL event, logical clock: 339
2025-03-05 16:33:52,375 - INTERNAL event, logical clock: 340
2025-03-05 16:33:52,547 - SEND event to port 5002, logical clock: 341
2025-03-05 16:33:52,551 - Machine 2 stopped. Final logical clock: 341
