2025-03-04 21:24:29,482 - RECEIVE event, queue length: 0, logical clock: 185
2025-03-04 21:24:29,650 - SEND event to port 5002, logical clock: 186
2025-03-04 21:24:29,818 - RECEIVE event, queue length: 0, logical clock: 187
2025-03-04 21:24:29,989 - SEND event to port 5001, logical clock: 188
2025-03-04 21:24:30,158 - SEND event to port 5001, logical clock: 189
2025-03-04 21:24:30,329 - SEND event to ALL machines, logical clock: 190
2025-03-04 21:24:30,501 - SEND event to ALL machines, logical clock: 191
2025-03-04 21:24:30,672 - SEND event to ALL machines, logical clock: 192
2025-03-04 21:24:30,843 - INTERNAL event, logical clock: 193
2025-03-04 21:24:31,016 - SEND event to port 5001, logical clock: 194
2025-03-04 21:24:31,185 - SEND event to port 5001, logical clock: 195
2025-03-04 21:24:31,357 - SEND event to port 5001, logical clock: 196
2025-03-04 21:24:31,528 - SEND event to port 5001, logical clock: 197
2025-03-04 21:24:31,697 - INTERNAL event, logical clock: 198
2025-03-04 21:24:31,868 - RECEIVE event, queue length: 0, logical clock: 199
2025-03-04 21:24:32,040 - RECEIVE event, queue length: 0, logical clock: 200
2025-03-04 21:24:32,212 - SEND event to port 5002, logical clock: 201
2025-03-04 21:24:32,378 - INTERNAL event, logical clock: 202
2025-03-04 21:24:32,548 - RECEIVE event, queue length: 0, logical clock: 204
2025-03-04 21:24:32,720 - INTERNAL event, logical clock: 205
2025-03-04 21:24:32,891 - RECEIVE event, queue length: 0, logical clock: 206
2025-03-04 21:24:33,062 - RECEIVE event, queue length: 1, logical clock: 207
2025-03-04 21:24:33,229 - RECEIVE event, queue length: 0, logical clock: 208
2025-03-04 21:24:33,397 - RECEIVE event, queue length: 0, logical clock: 209
2025-03-04 21:24:33,569 - RECEIVE event, queue length: 0, logical clock: 210
2025-03-04 21:24:33,740 - SEND event to port 5002, logical clock: 211
2025-03-04 21:24:33,907 - RECEIVE event, queue length: 0, logical clock: 212
2025-03-04 21:24:34,079 - SEND event to port 5001, logical clock: 213
2025-03-04 21:24:34,249 - SEND event to port 5002, logical clock: 214
2025-03-04 21:24:34,417 - SEND event to port 5001, logical clock: 215
2025-03-04 21:24:34,588 - SEND event to port 5002, logical clock: 216
2025-03-04 21:24:34,760 - SEND event to port 5002, logical clock: 217
2025-03-04 21:24:34,931 - SEND event to port 5002, logical clock: 218
2025-03-04 21:24:35,103 - RECEIVE event, queue length: 0, logical clock: 219
2025-03-04 21:24:35,275 - SEND event to port 5001, logical clock: 220
2025-03-04 21:24:35,447 - SEND event to port 5002, logical clock: 221
2025-03-04 21:24:35,616 - RECEIVE event, queue length: 0, logical clock: 223
2025-03-04 21:24:35,784 - SEND event to port 5001, logical clock: 224
2025-03-04 21:24:35,956 - SEND event to port 5001, logical clock: 225
2025-03-04 21:24:36,127 - SEND event to port 5001, logical clock: 226
2025-03-04 21:24:36,299 - SEND event to ALL machines, logical clock: 227
2025-03-04 21:24:36,471 - SEND event to ALL machines, logical clock: 228
2025-03-04 21:24:36,637 - SEND event to port 5002, logical clock: 229
2025-03-04 21:24:36,809 - SEND event to port 5002, logical clock: 230
2025-03-04 21:24:36,981 - SEND event to port 5002, logical clock: 231
2025-03-04 21:24:37,152 - SEND event to port 5002, logical clock: 232
2025-03-04 21:24:37,322 - SEND event to port 5001, logical clock: 233
2025-03-04 21:24:37,494 - SEND event to port 5001, logical clock: 234
2025-03-04 21:24:37,666 - SEND event to port 5002, logical clock: 235
2025-03-04 21:24:37,836 - SEND event to ALL machines, logical clock: 236
2025-03-04 21:24:38,008 - SEND event to ALL machines, logical clock: 237
2025-03-04 21:24:38,180 - SEND event to port 5002, logical clock: 238
2025-03-04 21:24:38,347 - INTERNAL event, logical clock: 239
2025-03-04 21:24:38,517 - SEND event to port 5002, logical clock: 240
2025-03-04 21:24:38,685 - RECEIVE event, queue length: 0, logical clock: 241
2025-03-04 21:24:38,856 - SEND event to port 5001, logical clock: 242
2025-03-04 21:24:39,028 - SEND event to port 5001, logical clock: 243
2025-03-04 21:24:39,195 - INTERNAL event, logical clock: 244
2025-03-04 21:24:39,367 - SEND event to ALL machines, logical clock: 245
2025-03-04 21:24:39,536 - SEND event to port 5002, logical clock: 246
2025-03-04 21:24:39,708 - RECEIVE event, queue length: 0, logical clock: 248
2025-03-04 21:24:39,876 - SEND event to port 5001, logical clock: 249
2025-03-04 21:24:40,044 - SEND event to ALL machines, logical clock: 250
2025-03-04 21:24:40,216 - SEND event to port 5001, logical clock: 251
2025-03-04 21:24:40,387 - INTERNAL event, logical clock: 252
2025-03-04 21:24:40,559 - SEND event to ALL machines, logical clock: 253
2025-03-04 21:24:40,728 - SEND event to ALL machines, logical clock: 254
2025-03-04 21:24:40,900 - INTERNAL event, logical clock: 255
2025-03-04 21:24:41,072 - SEND event to port 5002, logical clock: 256
2025-03-04 21:24:41,241 - SEND event to port 5002, logical clock: 257
2025-03-04 21:24:41,413 - INTERNAL event, logical clock: 258
2025-03-04 21:24:41,583 - SEND event to port 5002, logical clock: 259
2025-03-04 21:24:41,753 - RECEIVE event, queue length: 0, logical clock: 260
