2025-03-04 23:07:26,745 - INTERNAL event, logical clock: 317
2025-03-04 23:07:27,000 - RECEIVE event, queue length: 0, logical clock: 321
2025-03-04 23:07:27,255 - SEND event to port 5001, logical clock: 322
2025-03-04 23:07:27,509 - SEND event to ALL machines, logical clock: 323
2025-03-04 23:07:27,764 - SEND event to port 5001, logical clock: 324
2025-03-04 23:07:28,015 - SEND event to ALL machines, logical clock: 325
2025-03-04 23:07:28,270 - SEND event to port 5001, logical clock: 326
2025-03-04 23:07:28,525 - RECEIVE event, queue length: 0, logical clock: 329
2025-03-04 23:07:28,779 - RECEIVE event, queue length: 0, logical clock: 331
2025-03-04 23:07:29,032 - SEND event to port 5001, logical clock: 332
2025-03-04 23:07:29,287 - RECEIVE event, queue length: 0, logical clock: 334
2025-03-04 23:07:29,542 - RECEIVE event, queue length: 1, logical clock: 335
2025-03-04 23:07:29,793 - RECEIVE event, queue length: 0, logical clock: 336
2025-03-04 23:07:30,044 - RECEIVE event, queue length: 0, logical clock: 339
2025-03-04 23:07:30,299 - RECEIVE event, queue length: 0, logical clock: 340
2025-03-04 23:07:30,553 - RECEIVE event, queue length: 0, logical clock: 342
2025-03-04 23:07:30,805 - RECEIVE event, queue length: 0, logical clock: 343
2025-03-04 23:07:31,059 - RECEIVE event, queue length: 1, logical clock: 344
2025-03-04 23:07:31,215 - Machine 1 stopped. Final logical clock: 344
